kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_model_snr
2994092,K06301.01,CANDIDATE,50.271927,0.001128,-0.001128,6.073,0.514,-0.514,574.5,67.7,-67.7,2.94,0.88,-0.38,1.215,0.362,-0.155,9.3
2998124,K06302.01,FALSE POSITIVE,28.597880332,2.003e-06,-2.003e-06,7.71925,0.00282,-0.00282,85952.0,40.5,-40.5,74.25,13.98,-25.96,2.474,0.466,-0.865,2526.2
3098194,K06303.01,FALSE POSITIVE,30.476518853,6.891e-06,-6.891e-06,10.2264,0.00993,-0.00993,326630.0,287.0,-287.0,71.42,21.36,-14.25,1.073,0.321,-0.214,1347.9
4578594,K06429.01,FALSE POSITIVE,252.1638623,0.000236,-0.000236,23.92,0.0564,-0.0564,103790.0,152.0,-152.0,50.74,8.99,-4.15,0.745,0.132,-0.061,864.5
4587448,K06430.01,FALSE POSITIVE,2.23416013,,,2.12,,,,,,,,,,,,
4633434,K06431.01,FALSE POSITIVE,22.271198511,1.32e-06,-1.32e-06,4.58598,0.00187,-0.00187,179040.0,61.7,-61.7,39.79,4.31,-4.3,0.73,0.079,-0.079,2141.3
4661634,K06432.01,FALSE POSITIVE,73.894163515,5.003e-06,-5.003e-06,9.48995,0.00353,-0.00353,213900.0,70.1,-70.1,39.18,7.17,-5.36,0.841,0.154,-0.115,3902.3
4665989,K06433.01,FALSE POSITIVE,1.124033822,2.16e-07,-2.16e-07,5.5728,0.0114,-0.0114,247560.0,380.0,-380.0,98.04,32.87,-15.18,1.563,0.524,-0.242,792.9
4671584,K06434.01,FALSE POSITIVE,2.796661168,1.136e-06,-1.136e-06,3.3781,0.0174,-0.0174,2363.8,11.0,-11.0,47.68,12.26,-15.0,1.326,0.341,-0.417,251.4
4678171,K06435.01,FALSE POSITIVE,15.288709179,1.22e-06,-1.22e-06,5.00366,0.00325,-0.00325,512470.0,240.0,-240.0,54.56,2.2,-4.78,0.719,0.029,-0.063,1758.7
4681152,K06436.01,FALSE POSITIVE,1.83592242,2.37e-07,-2.37e-07,5.9942,0.00542,-0.00542,30746.0,24.5,-24.5,46.3,14.46,-5.17,0.976,0.305,-0.109,1378.9
4725292,K06437.01,FALSE POSITIVE,1.15495063,,,2.31,,,,,,,,,,,,
8297017,K07879.01,CANDIDATE,128.208643,0.00198,-0.00198,2.745,0.509,-0.509,212.2,30.7,-30.7,6.15,0.65,-2.44,3.811,0.403,-1.51,8.9
5282656,K06551.01,FALSE POSITIVE,1.516372183,9.622e-06,-9.622e-06,1.239,0.185,-0.185,93.8,14.1,-14.1,1.06,0.35,-0.12,1.046,0.341,-0.114,8.8
5284133,K06552.01,FALSE POSITIVE,8.784575777,2.29e-07,-2.29e-07,5.3022,0.0019,-0.0019,262980.0,0.0,0.0,104.57,24.81,-20.32,1.914,0.454,-0.372,4761.5
5285607,K06553.01,FALSE POSITIVE,1.949700508,1.05e-07,-1.05e-07,4.35014,0.0017,-0.0017,38119.0,10.0,-10.0,56.11,20.27,-6.77,1.193,0.431,-0.144,2271.0
5286786,K06554.01,FALSE POSITIVE,9.948701373,9.34e-06,-9.34e-06,3.2922,0.0391,-0.0391,2749.5,31.3,-31.3,29.19,3.57,-3.56,0.786,0.096,-0.096,103.1
5288543,K06555.01,FALSE POSITIVE,3.457078812,8e-08,-8e-08,5.24058,0.0025,-0.0025,315520.0,39.9,-39.9,86.12,25.69,-21.03,1.482,0.442,-0.362,6009.0
5294739,K06556.01,FALSE POSITIVE,3.735993484,1.056e-06,-1.056e-06,17.4877,0.0322,-0.0322,617990.0,518.0,-518.0,571.07,162.8,-406.9,4.055,1.156,-2.889,1587.7
5295206,K06557.01,CANDIDATE,6.63448023,9.814e-05,-9.814e-05,3.603,0.284,-0.284,71.2,8.0,-8.0,1.04,0.33,-0.16,1.225,0.384,-0.192,10.3
5298620,K06558.01,FALSE POSITIVE,12.4239677,0.0008546,-0.0008546,16.01,1.7,-1.7,162.4,13.4,-13.4,0.87,0.08,-0.09,0.698,0.065,-0.072,12.8
5300878,K06559.01,FALSE POSITIVE,0.639721284,4.6e-08,-4.6e-08,2.69771,0.00203,-0.00203,465920.0,404.0,-404.0,46.59,4.47,-4.03,0.625,0.06,-0.054,1012.9
6292732,K06686.01,FALSE POSITIVE,1.25338826,1.916e-05,-1.916e-05,3.828,0.567,-0.567,44.7,3.7,-3.7,0.64,0.08,-0.02,0.942,0.121,-0.035,14.8
6307000,K06687.01,CANDIDATE,1.002591901,4.985e-06,-4.985e-06,1.247,0.156,-0.156,143.2,16.8,-16.8,0.87,0.08,-0.08,0.739,0.062,-0.069,11.1
6311637,K06688.01,FALSE POSITIVE,1.620813697,4.22e-07,-4.22e-07,5.9968,0.0198,-0.0198,121320.0,306.0,-306.0,43.95,13.48,-13.48,1.177,0.361,-0.361,680.4
6345758,K06689.01,CANDIDATE,3.37116682,5.646e-05,-5.646e-05,4.708,0.384,-0.384,71.4,9.1,-9.1,0.98,0.26,-0.21,1.163,0.307,-0.251,9.8
6364126,K06690.01,FALSE POSITIVE,5.2434664,0.0003517,-0.0003517,18.47,2.0,-2.0,119.4,10.6,-10.6,2.83,0.32,-0.23,0.766,0.087,-0.063,10.7
6364195,K06691.01,FALSE POSITIVE,5.2439542,0.0001854,-0.0001854,9.82,1.2,-1.2,143.8,12.4,-12.4,0.81,0.09,-0.07,0.691,0.074,-0.056,14.2
6364200,K06692.01,FALSE POSITIVE,5.2441517,0.0002648,-0.0002648,9.69,1.0,-1.0,90.1,9.9,-9.9,0.91,0.24,-0.09,0.925,0.245,-0.088,10.5
6364247,K06693.01,FALSE POSITIVE,5.2443332,0.0001782,-0.0001782,11.268,0.629,-0.629,29.9,2.6,-2.6,0.58,0.18,-0.06,0.971,0.299,-0.1,13.5
7105574,K06820.01,FALSE POSITIVE,20.726069913,3.191e-06,-3.191e-06,6.47393,0.00793,-0.00793,118860.0,111.0,-111.0,51.9,15.14,-5.06,0.902,0.263,-0.088,1216.8
7115200,K06821.01,FALSE POSITIVE,0.566801447,5.436e-06,-5.436e-06,2.352,0.246,-0.246,16.2,1.5,-1.5,0.57,0.09,-0.11,1.349,0.211,-0.258,13.8
7115332,K06822.01,FALSE POSITIVE,0.566794934,5.426e-06,-5.426e-06,4.399,0.269,-0.269,68.9,4.9,-4.9,1.15,0.35,-0.15,1.049,0.325,-0.139,21.7
7115463,K06823.01,FALSE POSITIVE,0.566800287,2.885e-06,-2.885e-06,3.487,0.327,-0.327,73.9,4.4,-4.4,0.88,0.27,-0.09,0.969,0.3,-0.1,23.3
7115597,K06824.01,FALSE POSITIVE,0.566791946,4.009e-06,-4.009e-06,2.77,0.131,-0.131,125.7,11.6,-11.6,1.54,0.43,-0.15,0.97,0.273,-0.091,14.1
